,Channel,Compound,Date,Negative,Neutral,Positive,Tweet_Ago
138,@CNN,-0.4767,Sat Mar 10 01:22:28 +0000 2018,0.171,0.829,0.0,39
139,@CNN,0.0,Sat Mar 10 01:09:56 +0000 2018,0.0,1.0,0.0,40
140,@CNN,-0.3415,Sat Mar 10 01:00:27 +0000 2018,0.268,0.526,0.206,41
141,@CNN,-0.25,Sat Mar 10 00:49:48 +0000 2018,0.1,0.9,0.0,42
142,@CNN,-0.2263,Sat Mar 10 00:46:47 +0000 2018,0.128,0.872,0.0,43
143,@CNN,0.5267,Sat Mar 10 00:42:26 +0000 2018,0.0,0.871,0.129,44
144,@CNN,-0.3612,Sat Mar 10 00:36:43 +0000 2018,0.161,0.769,0.07,45
145,@CNN,0.128,Sat Mar 10 00:31:09 +0000 2018,0.0,0.923,0.077,46
146,@CNN,0.0,Sat Mar 10 00:26:24 +0000 2018,0.0,1.0,0.0,47
147,@CNN,0.4019,Sat Mar 10 00:19:39 +0000 2018,0.0,0.876,0.124,48
148,@CNN,-0.296,Sat Mar 10 00:12:12 +0000 2018,0.128,0.872,0.0,49
149,@CNN,-0.34,Fri Mar 09 23:59:48 +0000 2018,0.107,0.893,0.0,50
150,@CNN,-0.5267,Fri Mar 09 23:51:04 +0000 2018,0.152,0.848,0.0,51
151,@CNN,-0.7506,Fri Mar 09 23:49:03 +0000 2018,0.261,0.739,0.0,52
152,@CNN,-0.6908,Fri Mar 09 23:46:04 +0000 2018,0.251,0.749,0.0,53
153,@CNN,0.1779,Fri Mar 09 23:38:46 +0000 2018,0.0,0.904,0.096,54
154,@CNN,0.0,Fri Mar 09 23:38:44 +0000 2018,0.0,1.0,0.0,55
155,@CNN,0.0,Fri Mar 09 23:32:09 +0000 2018,0.0,1.0,0.0,56
156,@CNN,0.0644,Fri Mar 09 23:24:50 +0000 2018,0.0,0.918,0.082,57
157,@CNN,0.0,Fri Mar 09 23:16:42 +0000 2018,0.0,1.0,0.0,58
158,@CNN,0.0,Fri Mar 09 23:11:04 +0000 2018,0.0,1.0,0.0,59
